ra,dec,kepmag,teff,logg,feh,radius,mass,dens
297.91687,46.96513,14.6,5597,3.963,-0.18,1.699,0.97,0.2782
282.061279,47.085491,13.797,5903,4.3,-0.1,1.156,0.97,0.8878
287.140656,47.115189,12.776,5782,4.34,-0.02,1.095,0.96,1.028
290.060486,47.16396,12.727,5683,4.108,0.1,1.472,1.01,0.4476
299.830414,47.157459,15.438,3851,4.733,-0.08,0.524,0.54,5.294
281.482727,47.208031,11.492,4903,4.595,0.08,0.746,0.8,2.709
298.318359,47.279491,15.344,5825,4.39,-0.22,1.003,0.9,1.259
281.569946,47.398689,13.66,6103,4.202,0.02,1.383,1.11,0.5905
287.708832,47.33305,12.128,6378,3.952,-0.02,2.075,1.39,0.2238
290.934296,47.357601,15.644,5016,4.631,-0.34,0.682,0.73,3.231
281.194733,47.497131,12.895,4778,4.597,0.34,0.761,0.83,2.671
286.662964,47.4137,14.017,4952,4.611,-0.1,0.72,0.78,2.924
292.19397,47.457088,15.962,4116,4.668,-0.04,0.602,0.61,3.972
298.348328,47.49123,15.282,5716,4.544,-0.04,0.872,0.97,2.061
291.771637,47.5299,14.5,5776,4.622,-0.72,0.726,0.81,2.978
296.81369,47.526611,14.588,6490,3.942,0.08,2.179,1.52,0.2062
299.127533,47.59383,14.678,5300,4.47,-0.16,0.849,0.78,1.786
287.780853,47.62991,14.282,5888,4.342,-0.1,1.097,0.97,1.031
291.302216,47.697762,14.968,5627,4.506,-0.48,0.815,0.78,2.021
298.258118,47.604939,14.752,3755,4.757,-0.02,0.499,0.52,5.883
293.146484,47.729649,15.824,5614,4.561,-0.14,0.827,0.91,2.263
297.970886,47.731682,13.448,4911,4.565,0.24,0.787,0.83,2.397
298.663727,47.762039,14.613,5294,4.599,-0.16,0.761,0.85,2.716
280.69101,47.809738,14.802,5208,4.546,-0.32,0.755,0.73,2.394
285.311249,47.848564,11.696,5770,4.082,0.29,1.641,1.2,0.3695
289.217499,47.88446,11.664,5642,4.443,-0.27,0.979,0.97,1.458
291.971436,47.86417,14.915,6085,4.417,-0.3,1.005,0.96,1.334
292.376129,47.880989,15.416,5559,4.572,-0.18,0.806,0.88,2.379
293.613708,47.839001,15.847,4123,4.684,-0.22,0.578,0.58,4.287
298.395264,47.81501,14.141,5624,4.432,0.3,1.018,1.02,1.363
288.120972,47.966671,14.813,5324,4.585,-0.04,0.791,0.88,2.515
292.247284,47.969521,10.463,6350,4.021,0.26,1.991,1.52,0.2712
293.674225,47.908459,15.673,3696,4.791,-0.1,0.463,0.48,6.846
288.61792,48.098412,15.699,5821,4.554,-0.22,0.848,0.94,2.162
288.79303,48.04023,14.274,6163,4.185,-0.06,1.406,1.1,0.5589
